timestamp,is_anomaly,anomaly_score,current_prediction,future_predictions,drift_detected,pattern,actual_total
2024-03-01 05:00:00,False,0.5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'boarding': False, 'landing': False, 'loader': False}",low_activity,0.0
2024-03-01 05:05:00,False,0.5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","{'boarding': False, 'landing': False, 'loader': False}",low_activity,2.0
2024-03-01 05:10:00,False,0.5,0.41666999666999666,"[0.3357301077161563, 0.3357301077161563, 0.3357301077161563, 0.3357301077161563, 0.3357301077161563, 0.3357301077161563]","{'boarding': False, 'landing': False, 'loader': False}",normal,7.0
2024-03-01 05:15:00,False,0.5,1.6327614055912019,"[1.391254091036801, 1.391254091036801, 1.391254091036801, 1.391254091036801, 1.391254091036801, 1.391254091036801]","{'boarding': False, 'landing': False, 'loader': False}",normal,9.0
2024-03-01 05:20:00,False,0.5,2.3950931288075146,"[2.116600597949004, 2.116600597949004, 2.116600597949004, 2.116600597949004, 2.116600597949004, 2.116600597949004]","{'boarding': False, 'landing': False, 'loader': False}",normal,19.0
2024-03-01 05:25:00,False,0.5,3.4863585217154074,"[3.146699609270337, 3.146699609270337, 3.146699609270337, 3.146699609270337, 3.146699609270337, 3.146699609270337]","{'boarding': False, 'landing': False, 'loader': False}",normal,27.0
2024-03-01 05:30:00,False,0.5,5.151184210296911,"[4.742378433795282, 4.742378433795282, 4.742378433795282, 4.742378433795282, 4.742378433795282, 4.742378433795282]","{'boarding': False, 'landing': False, 'loader': False}",normal,41.0
2024-03-01 05:35:00,False,0.5,7.120148947631449,"[6.554926105510079, 6.554926105510079, 6.554926105510079, 6.554926105510079, 6.554926105510079, 6.554926105510079]","{'boarding': False, 'landing': False, 'loader': False}",special_event,60.0
2024-03-01 05:40:00,False,0.5,9.36698446090025,"[8.820879034313382, 8.820879034313382, 8.820879034313382, 8.820879034313382, 8.820879034313382, 8.820879034313382]","{'boarding': False, 'landing': False, 'loader': False}",special_event,71.0
2024-03-01 05:45:00,False,0.5,12.759038672578168,"[12.127170840520888, 12.127170840520888, 12.127170840520888, 12.127170840520888, 12.127170840520888, 12.127170840520888]","{'boarding': False, 'landing': False, 'loader': False}",special_event,94.0
2024-03-01 05:50:00,False,0.5,16.196322720636175,"[15.498007482034955, 15.498007482034955, 15.498007482034955, 15.498007482034955, 15.498007482034955, 15.498007482034955]","{'boarding': False, 'landing': False, 'loader': False}",special_event,126.0
2024-03-01 05:55:00,False,0.5,19.39434235778025,"[18.601027495945818, 18.601027495945818, 18.601027495945818, 18.601027495945818, 18.601027495945818, 18.601027495945818]","{'boarding': False, 'landing': False, 'loader': False}",special_event,151.0
2024-03-01 06:00:00,False,0.5,24.141966909480466,"[23.269012310470032, 23.269012310470032, 23.269012310470032, 23.269012310470032, 23.269012310470032, 23.269012310470032]","{'boarding': False, 'landing': False, 'loader': False}",special_event,187.0
2024-03-01 06:05:00,False,0.5,28.771577017849154,"[27.599093597377795, 27.599093597377795, 27.599093597377795, 27.599093597377795, 27.599093597377795, 27.599093597377795]","{'boarding': False, 'landing': False, 'loader': False}",special_event,210.0
2024-03-01 06:10:00,False,0.5,35.39238830177667,"[34.2574360187885, 34.2574360187885, 34.2574360187885, 34.2574360187885, 34.2574360187885, 34.2574360187885]","{'boarding': False, 'landing': False, 'loader': False}",special_event,247.0
2024-03-01 06:15:00,False,0.5,40.696965499077194,"[39.36536408690239, 39.36536408690239, 39.36536408690239, 39.36536408690239, 39.36536408690239, 39.36536408690239]","{'boarding': False, 'landing': False, 'loader': False}",special_event,280.0
2024-03-01 06:20:00,False,0.5,38.686923527000474,"[33.11070236654801, 33.11070236654801, 33.11070236654801, 33.11070236654801, 33.11070236654801, 33.11070236654801]","{'boarding': False, 'landing': False, 'loader': False}",special_event,312.0
2024-03-01 06:25:00,False,0.5,97.97939968586586,"[65.1447304221881, 65.1447304221881, 65.1447304221881, 65.1447304221881, 65.1447304221881, 65.1447304221881]","{'boarding': False, 'landing': False, 'loader': False}",special_event,356.0
2024-03-01 06:30:00,False,0.5,141.60327254858615,"[99.18369549882729, 99.18369549882729, 99.18369549882729, 99.18369549882729, 99.18369549882729, 99.18369549882729]","{'boarding': False, 'landing': False, 'loader': False}",special_event,386.0
2024-03-01 06:35:00,False,0.5,168.71446962225386,"[130.07698313156624, 130.07698313156624, 130.07698313156624, 130.07698313156624, 130.07698313156624, 130.07698313156624]","{'boarding': False, 'landing': False, 'loader': False}",special_event,407.0
2024-03-01 06:40:00,False,0.5,163.6307910358404,"[148.72341447881703, 148.72341447881703, 148.72341447881703, 148.72341447881703, 148.72341447881703, 148.72341447881703]","{'boarding': False, 'landing': False, 'loader': False}",special_event,447.0
2024-03-01 06:45:00,False,0.5,170.73751011252324,"[156.8403576951748, 156.8403576951748, 156.8403576951748, 156.8403576951748, 156.8403576951748, 156.8403576951748]","{'boarding': False, 'landing': False, 'loader': False}",special_event,476.0
2024-03-01 06:50:00,False,0.5,178.06746680939736,"[162.29395947486663, 162.29395947486663, 162.29395947486663, 162.29395947486663, 162.29395947486663, 162.29395947486663]","{'boarding': False, 'landing': False, 'loader': False}",special_event,502.0
2024-03-01 06:55:00,False,0.5,174.8548907688249,"[164.38682170055174, 164.38682170055174, 164.38682170055174, 164.38682170055174, 164.38682170055174, 164.38682170055174]","{'boarding': False, 'landing': False, 'loader': False}",special_event,514.0
